1;2852.00;9.70;1316.00;big
2;3023.00;12.38;1282.00;big
2;2950.00;12.55;1335.00;big
3;2670.00;9.50;1407.00;big
3;2735.00;9.50;1437.00;big
4;2697.00;12.38;1356.00;big
4;2741.00;12.45;1364.00;big
5;2804.00;10.50;1356.00;big
5;2775.00;12.25;1314.00;big
6;2686.00;10.05;1295.00;big
6;2735.00;13.05;1290.00;big
7;2885.00;10.00;1407.00;big
7;2823.00;10.00;1422.00;big
8;2822.00;9.98;1495.00;big
8;2775.00;9.70;1485.00;big
9;2858.00;10.38;1511.00;big
9;2894.00;10.15;1472.00;big
10;2982.00;10.23;1391.00;big
10;3049.00;12.38;1337.00;big
11;2945.00;11.60;1440.00;big
11;3023.00;14.18;1465.00;big
12;2900.00;9.60;1570.00;big
12;2882.00;9.78;1536.00;big
13;2837.00;9.50;1555.00;big
13;2754.00;9.50;1516.00;big
14;3206.00;10.30;1948.00;big
14;3094.00;9.50;1894.00;big
15;3317.00;9.80;1847.00;big
15;3330.00;11.05;1927.00;big
16;3001.00;10.45;1543.00;big
16;3005.00;9.70;1580.00;big
17;3036.00;11.18;1520.00;big
17;3093.00;12.50;1498.00;big
18;3065.00;10.30;1567.00;big
18;3136.00;9.82;1551.00;big
19;2662.00;11.40;813.00;big
19;2797.00;10.40;802.00;big
20;3216.00;10.53;1584.00;big
20;3274.00;9.80;1586.00;big
21;2952.00;9.70;1578.00;big
21;2931.00;10.80;1528.00;big
22;2951.00;13.10;1483.00;big
22;2989.00;11.12;1497.00;big
23;2949.00;10.25;1646.00;big
23;2984.00;9.70;1634.00;big
24;3038.00;9.55;1625.00;big
24;3092.00;9.50;1622.00;big
25;3125.00;9.50;1776.00;big
25;3157.00;9.70;1697.00;big
26;3248.00;9.53;1804.00;big
26;3180.00;9.50;1777.00;big
27;2932.00;14.12;1735.00;big
27;2971.00;12.70;1794.00;big
28;3047.00;11.40;1793.00;big
28;3039.00;9.85;1695.00;big
29;3171.00;9.85;1635.00;big
29;3214.00;10.30;1689.00;big
30;2690.00;9.98;1607.00;big
30;2669.00;10.05;1579.00;big
31;2682.00;14.23;1159.00;big
31;2731.00;15.00;1212.00;big
32;2901.00;9.50;1649.00;big
32;2865.00;9.50;1701.00;big
33;2776.00;9.70;1756.00;big
33;2821.00;9.50;1650.00;big
34;3015.00;9.50;1412.00;big
34;3079.00;9.50;1357.00;big
35;3045.00;9.50;1208.00;big
35;3132.00;9.50;1278.00;big
36;2816.00;10.30;1107.00;big
36;2921.00;10.53;954.00;big
37;2841.00;13.23;1238.00;big
37;2943.00;15.03;1239.00;big
38;3040.00;10.70;1098.00;big
38;3210.00;10.40;1078.00;big
39;2570.00;10.85;871.00;big
39;2609.00;10.10;1051.00;big
40;3032.00;12.98;1163.00;big
40;3149.00;11.12;1174.00;big
41;3260.00;9.50;1382.00;big
41;3340.00;9.80;1425.00;big
42;3126.00;13.70;1368.00;big
42;3066.00;11.12;1417.00;big
43;3170.00;15.30;1452.00;big
43;3105.00;9.80;1449.00;big
44;3239.00;10.25;1437.00;big
44;3198.00;12.30;1377.00;big
45;3208.00;10.90;1510.00;big
45;3288.00;9.88;1485.00;big
46;3374.00;9.80;1483.00;big
46;3318.00;9.80;1531.00;big
47;3150.00;11.70;1287.00;big
47;3147.00;12.93;1329.00;big
48;3216.00;9.50;1293.00;big
48;3188.00;10.25;1236.00;big
49;3319.00;9.50;1225.00;big
49;3228.00;9.50;1207.00;big
50;3324.00;9.95;1057.00;big
50;3285.00;9.80;1146.00;big
51;3260.00;11.57;1294.00;big
51;3335.00;10.73;1308.00;big
52;3453.00;12.50;1411.00;big
52;3521.00;13.12;1358.00;big
53;3396.00;13.25;1234.00;big
53;3359.00;9.50;1166.00;big
54;3461.00;14.68;1305.00;big
54;3394.00;18.27;1315.00;big
55;2754.00;10.07;1540.00;big
55;2797.00;10.10;1564.00;big
56;2769.00;11.38;1605.00;big
56;2748.00;12.20;1566.00;big
57;2741.00;11.82;1650.00;big
57;2726.00;13.20;1685.00;big
58;2641.00;9.50;1524.00;big
58;2610.00;9.50;1665.00;big
59;3477.00;12.28;1233.00;big
59;3517.00;9.80;1158.00;big
60;3594.00;9.68;1074.00;big
60;3672.00;10.05;1051.00;big
61;3418.00;12.55;1088.00;big
61;3513.00;11.65;1032.00;big
62;3814.00;11.85;1184.00;big
62;3884.00;18.85;1231.00;big
63;3599.00;9.50;1431.00;big
63;3618.00;9.50;1344.00;big
64;2935.00;13.93;767.00;big
